No,Chinese,Pinyin,English,Level
601,爱情,ài qíng,love,4
602,暗,àn,dark,4
603,安排,ān pái,"plan, to plan, to arrange",4
604,安全,ān quán,"safety, safe, secure",4
605,按时,àn shí,"on time, on schedule",4
606,按照,àn zhào,according to,4
607,抱,bào,"to hug, to embrace, to hold",4
608,报道,bào dào,"report, to report",4
609,保护,bǎo hù,"protection, to protect, to safeguard",4
610,包括,bāo kuò,"to include, to consist of",4
611,报名,bào míng,"to sign up, to register",4
612,抱歉,bào qiàn,sorry! my apologies!,4
613,保证,bǎo zhèng,"guarantee, to guarantee, to ensure, to assure",4
614,倍,bèi,"Measure, for times, -fold",4
615,笨,bèn,"stupid, foolish",4
616,本来,běn lái,"original, originally, at first",4
617,笔记本,bǐ jì běn,notebook,4
618,毕业,bì yè,"to graduate, to finish school",4
619,遍,biàn,"all over Measure, for a time",4
620,表达,biǎo dá,"to express, to convey",4
621,表格,biǎo gé,"form, table",4
622,表扬,biǎo yáng,"to praise, to commend",4
623,标准,biāo zhǔn,"standard, norm, standard",4
624,饼干,bǐng gān,"buscuit, cookie",4
625,并且,bìng qiě,"and, besides, moreover",4
626,博士,bó shì,"doctor, Ph.D.",4
627,不但,bú dàn,not only,4
628,不得不,bù dé bù,"Auxiliary, to have to, cannot but",4
629,部分,bù fen,"part, section",4
630,不管,bù guǎn,"regardless of, no matter what/how",4
631,不过,bú guò,"only, just, no more than, but, however",4
632,不仅,bù jǐn,"not only, not just",4
633,擦,cā,"to wipe, to rub, to erase",4
634,猜,cāi,to guess,4
635,材料,cái liào,"material, data, stuff",4
636,参观,cān guān,"to visit, to look around",4
637,差不多,chà bu duō,"almost, more or less",4
638,尝,cháng,"to taste, once",4
639,场,chǎng,"field, place Measure, for events, happenings, etc.",4
640,长城,Cháng chéng,the Great Wall,4
641,长江,Cháng jiāng,Yangtze river,4
642,吵,chǎo,"to quarrel, noisy",4
643,超过,chāo guò,"to surpass, to exceed",4
644,成功,chéng gōng,"success, to succeed",4
