No ,Chinese,Pinyin,English,Level
301,啊,a,showing approval,3
302,阿姨,ā yí,aunt,3
303,矮,ǎi,"low, short",3
304,爱好,ài hào,"hobby, interest, to like",3
305,安静,ān jìng,"quiet, peaceful",3
306,把,bǎ,"handle, to grasp, to hold, for ba-sentences Measure, for a bunch or objects with handle",3
307,半,bàn,half,3
308,搬,bān,"to move, to shift",3
309,班,bān,"class, team, squad Measure, for groups, rankings, etc.",3
310,办法,bàn fǎ,"method, way, means",3
311,办公室,bàn gōng shì,"office, bureau",3
312,帮忙,bāng máng,"to help, to do a favour",3
313,饱,bǎo,full (from eating),3
314,包,bāo,"bag, package, to cover, to wrap, to hold, to include",3
315,被,bèi,by (for passive sentence),3
316,北方,běi fāng,"north, northern part of a country",3
317,比较,bǐ jiào,"quite, rather, fairly, comparatively",3
318,比赛,bǐ sài,"competition, match, to compete",3
319,必须,bì xū,"Auxiliary, to have to, to must",3
320,鼻子,bí zi,nose,3
321,变化,biàn huà,"change, variation, to change, to vary",3
322,表示,biǎo shì,"to express, to show, to indicate",3
323,表演,biǎo yǎn,"performance, to perform, to act",3
324,别人,bié ren,"others, other people",3
325,宾馆,bīn guǎn,hotel,3
326,冰箱,bīng xiāng,"fridge, icebox",3
327,才,cái,"ability, talent, just, only if",3
328,菜单,cài dān,menu,3
329,参加,cān jiā,"to attend, to take part, to join",3
330,草,cǎo,"grass, straw",3
331,层,céng,"layer, floor Measure, for layer, story, floor",3
332,差,chà,"to lack, short of, poor",3
333,超市,chāo shì,supermarket,3
334,衬衫,chèn shān,"shirt, blouse",3
335,成绩,chéng jì,"score, achievement, grades",3
336,城市,chéng shì,"city, town",3
337,迟到,chí dào,to be late,3
338,厨房,chú fáng,kitchen,3
339,除了,chú le,"except for, apart from, besides",3
340,出现,chū xiàn,"to appear, to arise",3
341,春,chūn,spring,3
342,词语,cí yǔ,"word, expression",3
343,聪明,cōng ming,"clever, intelligent, smart",3
344,打扫,dǎ sǎo,to clean,3
345,打算,dǎ suàn,"plan, intention, to plan, to think of, to calculate",3
346,带,dài,"band, belt, area, region, to wear, to carry, to bring, to lead",3
347,蛋糕,dàn gāo,cake,3
348,担心,dān xīn,"to worry, worried, anxious",3
349,当然,dāng rán,"certainly, of course",3
350,地,de,used before a verb,3
351,灯,dēng,"lamp, light",3
352,低,dī,low,3
353,地方,dì fang,"region, place, location",3
354,地铁,dì tiě,subway,3
355,地图,dì tú,map,3
356,电梯,diàn tī,elevator,3
357,电子邮件,diàn zǐ yóu jiàn,email,3
358,东,dōng,east,3
